scheduler,seed,total_steps,avg_wait_pct,status
simple,100,409,35.27,SUCCESS
simple,101,423,33.87,SUCCESS
simple,102,441,40.53,SUCCESS
simple,103,449,28.73,SUCCESS
simple,104,384,39.45,SUCCESS
simple,105,448,30.52,SUCCESS
simple,106,464,34.38,SUCCESS
simple,107,541,28.93,SUCCESS
simple,108,394,36.42,SUCCESS
simple,109,384,45.18,SUCCESS
simple,110,322,36.72,SUCCESS
simple,111,395,37.91,SUCCESS
simple,112,464,34.75,SUCCESS
simple,113,477,37.58,SUCCESS
simple,114,468,37.55,SUCCESS
simple,115,364,37.23,SUCCESS
simple,116,570,29.12,SUCCESS
simple,117,460,34.51,SUCCESS
simple,118,443,33.69,SUCCESS
simple,119,431,35.27,SUCCESS
simple,120,460,35.87,SUCCESS
simple,121,,,BLOCKED_BY_FAULTrobot2 has critically faulted and is blocking goal0. Simulation cannot proceed.
simple,122,486,34.21,SUCCESS
simple,123,338,34.69,SUCCESS
simple,124,371,33.36,SUCCESS
simple,125,456,35.42,SUCCESS
simple,126,457,36.38,SUCCESS
simple,127,248,40.12,SUCCESS
simple,128,468,33.23,SUCCESS
simple,129,,,BLOCKED_BY_FAULTrobot1 has critically faulted and is blocking goal0. Simulation cannot proceed.
heft,100,408,32.78,SUCCESS
heft,101,375,33.27,SUCCESS
heft,102,459,45.53,SUCCESS
heft,103,480,35.89,SUCCESS
heft,104,387,38.11,SUCCESS
heft,105,448,33.54,SUCCESS
heft,106,435,31.38,SUCCESS
heft,107,463,37.1,SUCCESS
heft,108,425,32.94,SUCCESS
heft,109,400,43.88,SUCCESS
heft,110,328,38.11,SUCCESS
heft,111,391,43.09,SUCCESS
heft,112,474,35.02,SUCCESS
heft,113,480,37.19,SUCCESS
heft,114,472,38.77,SUCCESS
heft,115,343,41.18,SUCCESS
heft,116,565,26.15,SUCCESS
heft,117,469,38.11,SUCCESS
heft,118,402,36.82,SUCCESS
heft,119,431,35.61,SUCCESS
heft,120,450,37.39,SUCCESS
heft,121,580,27.2,SUCCESS
heft,122,460,35.71,SUCCESS
heft,123,353,37.46,SUCCESS
heft,124,360,41.6,SUCCESS
heft,125,450,38.11,SUCCESS
heft,126,471,34.08,SUCCESS
heft,127,248,40.12,SUCCESS
heft,128,468,34.29,SUCCESS
heft,129,414,26.57,SUCCESS
dls,100,361,34.7,SUCCESS
dls,101,412,37.01,SUCCESS
dls,102,463,42.12,SUCCESS
dls,103,476,35.45,SUCCESS
dls,104,402,34.45,SUCCESS
dls,105,457,32.28,SUCCESS
dls,106,445,33.15,SUCCESS
dls,107,446,34.19,SUCCESS
dls,108,396,39.08,SUCCESS
dls,109,403,40.14,SUCCESS
dls,110,351,37.18,SUCCESS
dls,111,410,39.7,SUCCESS
dls,112,459,33.12,SUCCESS
dls,113,459,36.11,SUCCESS
dls,114,442,35.12,SUCCESS
dls,115,339,32.15,SUCCESS
dls,116,445,37.36,SUCCESS
dls,117,439,31.44,SUCCESS
dls,118,405,33.83,SUCCESS
dls,119,,,BLOCKED_BY_FAULTrobot1 has critically faulted and is blocking goal0. Simulation cannot proceed.
dls,120,463,38.98,SUCCESS
dls,121,609,23.89,SUCCESS
dls,122,440,46.48,SUCCESS
dls,123,352,38.85,SUCCESS
dls,124,363,33.33,SUCCESS
dls,125,480,36.04,SUCCESS
dls,126,526,33.08,SUCCESS
dls,127,259,52.12,SUCCESS
dls,128,477,28.46,SUCCESS
dls,129,468,28.69,SUCCESS
heft-dls,100,382,33.31,SUCCESS
heft-dls,101,,,BLOCKED_BY_FAULTrobot1 has critically faulted and is blocking goal0. Simulation cannot proceed.
heft-dls,102,413,40.31,SUCCESS
heft-dls,103,437,40.45,SUCCESS
heft-dls,104,389,36.05,SUCCESS
heft-dls,105,482,37.34,SUCCESS
heft-dls,106,446,38.34,SUCCESS
heft-dls,107,461,36.28,SUCCESS
heft-dls,108,,,BLOCKED_BY_FAULTrobot0 has critically faulted and is blocking goal1. Simulation cannot proceed.
heft-dls,109,383,40.8,SUCCESS
heft-dls,110,358,38.06,SUCCESS
heft-dls,111,,,BLOCKED_BY_FAULTrobot1 has critically faulted and is blocking goal1. Simulation cannot proceed.
heft-dls,112,485,37.58,SUCCESS
heft-dls,113,461,34.98,SUCCESS
heft-dls,114,458,39.63,SUCCESS
heft-dls,115,324,36.03,SUCCESS
heft-dls,116,474,41.35,SUCCESS
heft-dls,117,429,32.52,SUCCESS
heft-dls,118,418,42.4,SUCCESS
heft-dls,119,397,35.2,SUCCESS
heft-dls,120,464,37.88,SUCCESS
heft-dls,121,603,26.12,SUCCESS
heft-dls,122,,,BLOCKED_BY_FAULTrobot3 has critically faulted and is blocking goal1. Simulation cannot proceed.
heft-dls,123,351,36.97,SUCCESS
heft-dls,124,337,34.42,SUCCESS
heft-dls,125,476,32.98,SUCCESS
heft-dls,126,468,36.16,SUCCESS
heft-dls,127,222,46.73,SUCCESS
heft-dls,128,534,25.8,SUCCESS
heft-dls,129,434,30.01,SUCCESS
